"""%s"" contains not only digit characters.","""%s"" 包含數字以外的字元"
"""%s"" does not fit the entered date format.","""%s"" 不符合輸入的日期格式"
"""%s"" exceeds the allowed file size.","""%s"" 超過允許的檔案大小"
"""%s"" exceeds the allowed length.","""%s"" 超過允許的長度"
"""%s"" has not only alphabetic and digit characters.","""%s"" 包含英文與數字外的字元"
"""%s"" has not only alphabetic characters.","""%s"" 包含拼音以外的字元"
"""%s"" height exceeds allowed value of %s px.","""%s"" 高度超過允許的數值 %s px"
"""%s"" invalid type entered.","""%s"" 輸入的類型有誤"
"""%s"" is a required value.","""%s"" 是必填數值"
"""%s"" is an empty string.","""%s"" 是一個空字串"
"""%s"" is not a valid URL.","""%s"" 不是正確的網址"
"""%s"" is not a valid date.","""%s"" 不是正確的日期"
"""%s"" is not a valid email address.","""%s"" 不是正確的信箱"
"""%s"" is not a valid file","""%s""不是一個正確的檔案"
"""%s"" is not a valid file extension.","""%s"" 不是一個正確的副檔名"
"""%s"" is not a valid file.","""%s"" 不是一個正確的檔案"
"""%s"" is not a valid hostname.","""%s"" 不是一個正確的主機名稱"
"""%s"" is not a valid image format","""%s""不是一個正確的圖像格式"
"""%s"" length must be equal or greater than %s characters.","""%s"" 長度必須大於或等於 %s 字元"
"""%s"" length must be equal or less than %s characters.","""%s"" 長度必須小於或等於 %s 字元
"""%s"" width exceeds allowed value of %s px.","""%s"" 寬度超過限制的 %s px"
"'%value%' appears to be a DNS hostname but cannot extract TLD part","""%value%"" 似乎是一個 DNS 主機名，但無法提取 TLD 部分"
"'%value%' appears to be a DNS hostname but cannot match TLD against known list","""%value%"" 似乎是一個 DNS 主機名，但無法與已知列表匹配 TLD"
"'%value%' appears to be a DNS hostname but cannot match against hostname schema for TLD '%tld%'","""%value%"" 似乎是一個 DNS 主機名，但無法與 TLD ""%tld%"" 的主機名模式相匹配。"
"'%value%' appears to be a DNS hostname but contains a dash in an invalid position","""%value%"" 似乎是一個 DNS 主機名，但在錯誤位置包含破折號"
"'%value%' appears to be a DNS hostname but the given punycode notation cannot be decoded","'%value%' 似乎是 DNS 主機名，但無法對指定的 Punycode符號解碼"
"'%value%' appears to be a local network name but local network names are not allowed","'%value%' 似乎是本地網路名稱，此處不能使用本地網路名稱"
"'%value%' appears to be an IP address, but IP addresses are not allowed","'%value%' 似乎是 IP 地址，此處不能使用 IP 地址"
"'%value%' does not appear to be a valid URI hostname","'%value%' 似乎不是正確的 URI 主機名"
"'%value%' does not appear to be a valid local network name","'%value%' 似乎不是正確的本地網路名"
"'%value%' does not match the expected structure for a DNS hostname","'%value%' 無法與預期的 DNS 主機名相匹配"
"A joint field with this alias (%s) is already declared","使用該別名 (%s) 的聯合欄位已聲名"
"Add Option","增加選項"
"An error occurred while loading a record, aborting. Error: %s","載入記錄時發生錯誤，登出。 錯誤： %s"
"An error occurred while loading the collection, aborting. Error: %s","載入組合時發生錯誤，登出。 錯誤： %s"
"An error occurred while saving a record, aborting. Error: ","儲存記錄時發生錯誤，登出。 錯誤："
"Attempt to add an invalid object","要新增的對像有誤"
"Attribute '%s' used in configurable products","配置產品中使用的屬性 '%s'"
"Attribute Code","屬性編碼"
"Attribute Label","屬性標籤"
"Attribute Properties","屬性值"
"Attribute object is undefined","屬性對象未定義"
"Attribute set with the ""%s"" name already exists.","名為""%s"" 的屬性集合已存在"
"Attribute with the same code","屬性代碼相同"
"Can\'t create table: %s","無法建立表格：%s"
"Catalog Input Type for Store Owner","商店所有者的目錄輸入類型"
"Current module EAV entity is undefined","當前模塊EAV實體未定義"
"Current module pathname is undefined","當前模塊路徑名未定義"
"Data integrity: No header row found for attribute","資料完整性：屬性中沒有標題行"
"Date","日期"
"Decimal Number","小數"
"Default Product Listing Sort by does not exist in Available Product Listing Sort By.","預設產品排序方式不存在於可用產品排序方式"
"Default Value","預設值"
"Default option value is not defined","預設選項值未定義"
"Delete","刪除"
"Dropdown","下拉"
"Email","信箱"
"Entity collection expected.","需要實體組合"
"Entity collections expected.","需要實體組合"
"Entity instance is not defined","實體實例未定義"
"Entity is not initialized","實體未初始化"
"Entity object is undefined","實體對象未定義"
"Failed to load node %s from config","從配置中載入節點 %s 出錯"
"For internal use. Must be unique with no spaces. Maximum length of attribute code must be less then %s symbols","只在內部使用，必須是唯一且不含空白，屬性代碼長度上限為 30 個字元"
"Form Element with the same attribute","相同屬性的表格區"
"Form Fieldset with the same code","相同欄位集合編碼的表格"
"Form Type with the same code","相同編碼的表格類型"
"Form code is not defined","表單代碼未定義"
"Frontend label is not defined","前台標籤未定義"
"Input Validation for Store Owner","商店所有者輸入驗證"
"Integer Number","整數"
"Invalid EAV attribute.","非法的 EAV 屬性"
"Invalid alias, already exists in joint attributes","錯誤的別名、已經存在於聯合屬性中。"
"Invalid attribute name: %s","屬性名有誤：%s"
"Invalid attribute requested: %s","請求的屬性有誤：%s"
"Invalid attribute type","屬性類型有誤"
"Invalid character encountered in increment ID: %s","有錯誤的字元在增量編號中：%s"
"Invalid date","錯誤的日期"
"Invalid default date","錯誤的預設日期"
"Invalid default decimal value","錯誤的預設十進制數值"
"Invalid entity specified","指定的實體有誤"
"Invalid entity supplied.","提供的實體有誤"
"Invalid entity supplied: %s","提供的實體有誤: %s"
"Invalid entity type","實體類型有誤"
"Invalid entity_id, skipping the record.","錯誤的 entity_id ，略過資料"
"Invalid entity_type specified: %s","指定的entity_type有誤：%s"
"Invalid foreign key","外鍵有誤"
"Invalid form type.","有誤的表格類型"
"Invalid joint fields","錯誤的合併欄位"
"Invalid store specified","指定的商店有誤"
"Invalid type given. String expected","指定的類錯誤。需使用字串"
"Joined field with this alias is already declared","別名的聯合字串已聲明"
"Joint field or attribute expression with this alias is already declared","使用此別名的合併欄位或屬性表達式已被聲明"
"Letters","字母"
"Letters (a-z, A-Z) or Numbers (0-9)","字母 (a-z, A-Z) 或數字 (0-9)"
"Loaded %d records","載入了%d個記錄"
"Maximum length of attribute code must be less then %s symbols","屬性代碼的最大長度必須小於 %s 個符號"
"Multiple Select","多個選擇"
"No","否"
"No options found in config node %s","配置節點 %s 下找不到選項"
"None","無"
"Not shared with other products","不與其他產品分享"
"Problem loading the collection, aborting. Error: %s","載入組合出錯，退出。錯誤：%s"
"Problem saving the collection, aborting. Error: %s","儲存群組合出錯，退出。錯誤：%s"
"Required","必填"
"Saved %d record(s).","儲存 %d 筆資料"
"Source model ""%s"" not found for attribute ""%s""","來源模型""%s""找不到屬性""%s"""
"System","系統"
"Text Area","文字區域"
"Text Field","文字區域"
"The value of attribute ""%s"" must be unique","屬性值""%s""的值必須是唯一
"
"The value of attribute ""%s"" must be unique.","屬性值 ""%s"" 必須唯一"
"This attribute is used in configurable products","該屬性已用于可配置產品"
"URL","網址"
"Unique Value","唯一值"
"Unique Value (not shared with other products)","唯一值 (不與其他產品分享)"
"Unknown parameter","未知參數"
"Values Required","要求的值"
"Wrong attribute group ID","屬性集合編號錯誤"
"Wrong attribute set ID","屬性集合編號錯誤"
"Wrong entity ID","實體編號錯誤"
"Wrong type definition for %s","錯誤的類定義：%s"
"Yes","是"
"Yes/No","是/否"
